Date/Time,Word Count,en,fr
2024.10.21-21.31.04,25,25,0
2024.10.21-21.33.22,135,135,0
2024.10.21-21.43.29,25,25,0
2024.10.22-07.37.56,26,26,0
2024.10.23-19.55.15,27,27,0
2024.10.28-16.45.13,30,30,0
2024.12.17-10.15.09,43,43,0
2024.12.19-09.47.44,46,46,0
2025.01.13-11.10.02,50,50,0
2025.01.15-12.50.37,75,75,0
2025.01.16-18.01.16,84,84,0
2025.01.21-08.24.20,105,105,0
2025.01.26-11.05.57,140,140,0
2025.02.14-15.56.19,1425,1425,0
2025.02.14-20.41.46,1738,1738,0
2025.02.25-10.21.20,1740,1740,0
2025.03.03-19.21.36,1742,1742,0
2025.03.10-11.35.55,1767,1767,0
2025.04.04-09.06.51,1770,1770,0
2025.04.04-09.28.54,1772,1772,0
2025.04.15-10.37.51,2238,2238,0
2025.04.17-19.09.53,2241,2241,0
2025.04.17-19.27.59,2242,2242,0
2025.05.13-18.06.59,2218,2218,0
2025.08.30-18.54.22,2233,2233,0
2025.09.22-09.23.46,2285,2285,0
2025.09.23-13.59.18,2288,2288,0
2025.10.02-15.35.19,2315,2315,0
2025.11.01-16.07.01,2318,2318,0
2025.11.08-17.18.30,2319,2319,0
